X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
1,0,0,-2.03E-37,-7.30E-37,0,2.86E-05,-0.00226032,0,0.00148808,0,0,0,0,30.1679,-18.9829,-45.3936,-19.3129,8.58506,2.86E-05,-0.00226032,1.49E-03
1.04,0,0,-1.95E-37,-7.19E-37,0,2.82E-05,-0.00224955,0,0.00154418,0,0,0,0,30.3389,-18.8983,-45.1798,-19.2234,8.90874,2.82E-05,-0.00224955,1.54E-03
1.08,0,0,-1.87E-37,-7.08E-37,0,2.77E-05,-0.00223799,0,0.0015993,0,0,0,0,30.5065,-18.8079,-44.9505,-19.1275,9.22673,2.77E-05,-0.00223799,1.60E-03
1.12,0,0,-1.79E-37,-6.97E-37,0,2.72E-05,-0.00222562,0,0.00165333,0,0,0,0,30.6699,-18.7116,-44.7054,-19.0251,9.53843,2.72E-05,-0.00222562,1.65E-03
1.16,0,0,-1.71E-37,-6.85E-37,0,2.66E-05,-0.00221246,0,0.00170617,0,0,0,0,30.828,-18.6093,-44.4446,-18.9162,9.84329,2.66E-05,-0.00221246,1.71E-03
1.2,0,0,-1.63E-37,-6.74E-37,0,2.60E-05,-0.0021985,0,0.00175772,0,0,0,0,30.98,-18.5011,-44.1681,-18.8007,10.1407,2.60E-05,-0.0021985,1.76E-03
1.24,0,0,-1.55E-37,-6.62E-37,0,2.53E-05,-0.00218375,0,0.0018079,0,0,0,0,31.125,-18.387,-43.876,-18.6789,10.4302,2.53E-05,-0.00218375,1.81E-03
1.28,0,0,-1.47E-37,-6.50E-37,0,2.46E-05,-0.00216822,0,0.00185661,0,0,0,0,31.2622,-18.2669,-43.5686,-18.5507,10.7112,2.46E-05,-0.00216822,1.86E-03
1.32,0,0,-1.39E-37,-6.38E-37,0,2.38E-05,-0.00215193,0,0.00190376,0,0,0,0,31.3909,-18.1411,-43.2461,-18.4162,10.9833,2.38E-05,-0.00215193,1.90E-03
1.36,0,0,-1.31E-37,-6.26E-37,0,2.30E-05,-0.00213488,0,0.00194928,0,0,0,0,31.5101,-18.0096,-42.9088,-18.2755,11.2458,2.30E-05,-0.00213488,1.95E-03
